"","data","tipo_divida","Credor_completo","contrato","tipo_credor","mutuario","tipo_mutuario","Status","valor","mes","ano","mes_ano","data_mes","Credor","pos_ini_mutuario","pos_ini_Credor","pos_ini_tipo_divida","pos_ini_ano"
"1",2016-04-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",814584,"04",2016,"201604",2016-04-01,"Caixa Econômica",0,0,0,0
"2",2016-04-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2517082.46,"04",2016,"201604",2016-04-01,"Caixa Econômica",814584,814584,814584,814584
"3",2016-04-19,"Interna","Caixa Econômica Federal","CAIXA - 20110707","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",826.42,"04",2016,"201604",2016-04-01,"Caixa Econômica",3331666.46,3331666.46,3331666.46,3331666.46
"4",2016-04-25,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",7967046.55,"04",2016,"201604",2016-04-01,"Caixa Econômica",3332492.88,3332492.88,3332492.88,3332492.88
"5",2016-04-30,"Externa","Agência Francesa de Desevolvimento","AFD CBR 1042","Agências Governamentais","Rio de Janeiro (Estado)","Estados","Honra de Aval",30162688.1,"04",2016,"201604",2016-04-01,"AFD",11299539.43,0,0,11299539.43
"6",2016-05-09,"Interna","Banco do Brasil S/A","BB - 2013850","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",116947772.21,"05",2016,"201605",2016-05-01,"Banco do Brasil",41462227.53,0,11299539.43,41462227.53
"7",2016-05-15,"Externa","Banco Mundial","BIRD7955-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",1370761.61,"05",2016,"201605",2016-05-01,"Banco Mundial",158409999.74,0,30162688.1,158409999.74
"8",2016-05-15,"Externa","Banco Mundial","BIRD8011-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9659006.04,"05",2016,"201605",2016-05-01,"Banco Mundial",159780761.35,1370761.61,31533449.71,159780761.35
"9",2016-05-15,"Externa","Banco Mundial","BIRD8327-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",48791.31,"05",2016,"201605",2016-05-01,"Banco Mundial",169439767.39,11029767.65,41192455.75,169439767.39
"10",2016-05-15,"Externa","Banco Mundial","BIRD8117-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",6558108.24,"05",2016,"201605",2016-05-01,"Banco Mundial",169488558.7,11078558.96,41241247.06,169488558.7
"11",2016-05-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5652434.1,"05",2016,"201605",2016-05-01,"BNDES",176046666.94,0,128247311.64,176046666.94
"12",2016-05-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2013848","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",59429299.11,"05",2016,"201605",2016-05-01,"BNDES",181699101.04,5652434.1,133899745.74,181699101.04
"13",2016-05-16,"Externa","BID","BID2762/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",901948.02,"05",2016,"201605",2016-05-01,"BID",241128400.15,0,47799355.3,241128400.15
"14",2016-05-16,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9969305.78,"05",2016,"201605",2016-05-01,"Banco do Brasil",242030348.17,116947772.21,193329044.85,242030348.17
"15",2016-05-16,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9195719.93,"05",2016,"201605",2016-05-01,"Caixa Econômica",251999653.95,11299539.43,203298350.63,251999653.95
"16",2016-05-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2518470.73,"05",2016,"201605",2016-05-01,"Caixa Econômica",261195373.88,20495259.36,212494070.56,261195373.88
"17",2016-05-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",837261.47,"05",2016,"201605",2016-05-01,"Caixa Econômica",263713844.61,23013730.09,215012541.29,263713844.61
"18",2016-05-23,"Externa","Corporacão Andina de Fomento","CFA007996","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",20760093.7,"05",2016,"201605",2016-05-01,"CAF",264551106.08,0,48701303.32,264551106.08
"19",2016-05-25,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8045643.88,"05",2016,"201605",2016-05-01,"Caixa Econômica",285311199.78,23850991.56,215849802.76,285311199.78
"20",2016-06-06,"Externa","Corporacão Andina de Fomento","CFA008002","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",3834.05,"06",2016,"201606",2016-06-01,"CAF",293356843.66,20760093.7,69461397.02,293356843.66
"21",2016-06-06,"Externa","Corporacão Andina de Fomento","CFA008002","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",31204986.61,"06",2016,"201606",2016-06-01,"CAF",293360677.71,20763927.75,69465231.07,293360677.71
"22",2016-06-10,"Externa","Fundo Financeiro para Desenvolvimento da Bacia do Prata","Fonplata BR-13/2007","Organismos Multilaterais","Chapecó","Municípios","Honra de Aval",2266689.08,"06",2016,"201606",2016-06-01,"FONPLATA",0,0,100670217.68,324565664.32
"23",2016-06-15,"Externa","BID","BID2411/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",4923847.53,"06",2016,"201606",2016-06-01,"BID",324565664.32,901948.02,102936906.76,326832353.4
"24",2016-06-15,"Externa","BID","BID2646/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",6781447.46,"06",2016,"201606",2016-06-01,"BID",329489511.85,5825795.55,107860754.29,331756200.93
"25",2016-06-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5570501.1,"06",2016,"201606",2016-06-01,"BNDES",336270959.31,65081733.21,223895446.64,338537648.39
"26",2016-06-15,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9873216,"06",2016,"201606",2016-06-01,"Banco do Brasil",341841460.41,126917077.99,229465947.74,344108149.49
"27",2016-06-16,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9104372.19,"06",2016,"201606",2016-06-01,"Caixa Econômica",351714676.41,31896635.44,239339163.74,353981365.49
"28",2016-06-16,"Interna","Banco do Brasil S/A","BB - 2012735","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",162808801.16,"06",2016,"201606",2016-06-01,"Banco do Brasil",360819048.6,136790293.99,248443535.93,363085737.68
"29",2016-06-20,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2518434.53,"06",2016,"201606",2016-06-01,"Caixa Econômica",523627849.76,41001007.63,411252337.09,525894538.84
"30",2016-06-20,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",836972.39,"06",2016,"201606",2016-06-01,"Caixa Econômica",526146284.29,43519442.16,413770771.62,528412973.37
"31",2016-06-27,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8117691.5,"06",2016,"201606",2016-06-01,"Caixa Econômica",526983256.68,44356414.55,414607744.01,529249945.76
"32",2016-07-12,"Interna","Caixa Econômica Federal","CAIXA - 20110776","Bancos Federais","Natal","Municípios","Honra de Aval",2170103.48,"07",2016,"201607",2016-07-01,"Caixa Econômica",0,52474106.05,422725435.51,537367637.26
"33",2016-07-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2016004","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",4792155.29,"07",2016,"201607",2016-07-01,"BNDES",535100948.18,70652234.31,424895538.99,539537740.74
"34",2016-07-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2014976","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",45501377,"07",2016,"201607",2016-07-01,"BNDES",539893103.47,75444389.6,429687694.28,544329896.03
"35",2016-07-15,"Interna","Caixa Econômica Federal","CAIXA - 20120812","Bancos Federais","Roraima","Estados","Honra de Aval",2840250.09,"07",2016,"201607",2016-07-01,"Caixa Econômica",0,54644209.53,475189071.28,589831273.03
"36",2016-07-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5554417.92,"07",2016,"201607",2016-07-01,"BNDES",585394480.47,120945766.6,478029321.37,592671523.12
"37",2016-07-15,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9807292.93,"07",2016,"201607",2016-07-01,"Banco do Brasil",590948898.39,299599095.15,483583739.29,598225941.04
"38",2016-07-15,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9064770.35,"07",2016,"201607",2016-07-01,"Caixa Econômica",600756191.32,57484459.62,493391032.22,608033233.97
"39",2016-07-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",838011.99,"07",2016,"201607",2016-07-01,"Caixa Econômica",609820961.67,66549229.97,502455802.57,617098004.32
"40",2016-07-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2522402.28,"07",2016,"201607",2016-07-01,"Caixa Econômica",610658973.66,67387241.96,503293814.56,617936016.31
"41",2016-07-25,"Interna","Caixa Econômica Federal","CAIXA - 20130885","Bancos Federais","Roraima","Estados","Honra de Aval",9913945.42,"07",2016,"201607",2016-07-01,"Caixa Econômica",2840250.09,69909644.24,505816216.84,620458418.59
"42",2016-07-25,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8101541.31,"07",2016,"201607",2016-07-01,"Caixa Econômica",613181375.94,79823589.66,515730162.26,630372364.01
"43",2016-07-28,"Externa","BID","BID1037/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",20704560.6,"07",2016,"201607",2016-07-01,"BID",621282917.25,12607243.01,114642201.75,638473905.32
"44",2016-08-01,"Interna","Caixa Econômica Federal","Contrato Conta A","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",32203715.11,"08",2016,"201608",2016-08-01,"Caixa Econômica",641987477.85,87925130.97,523831703.57,659178465.92
"45",2016-08-12,"Interna","Caixa Econômica Federal","CAIXA - 20110776","Bancos Federais","Natal","Municípios","Honra de Aval",2183696.05,"08",2016,"201608",2016-08-01,"Caixa Econômica",2170103.48,120128846.08,556035418.68,691382181.03
"46",2016-08-15,"Interna","Caixa Econômica Federal","CAIXA - 20120812","Bancos Federais","Roraima","Estados","Honra de Aval",2895556.06,"08",2016,"201608",2016-08-01,"Caixa Econômica",12754195.51,122312542.13,558219114.73,693565877.08
"47",2016-08-15,"Externa","Banco Mundial","BIRD8191-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",7144137.02,"08",2016,"201608",2016-08-01,"Banco Mundial",674191192.96,17636667.2,135346762.35,696461433.14
"48",2016-08-15,"Externa","Banco Mundial","BIRD8200-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",303890.11,"08",2016,"201608",2016-08-01,"Banco Mundial",681335329.98,24780804.22,142490899.37,703605570.16
"49",2016-08-15,"Externa","Banco Mundial","BIRD8307-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",11906894.99,"08",2016,"201608",2016-08-01,"Banco Mundial",681639220.09,25084694.33,142794789.48,703909460.27
"50",2016-08-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5613704.39,"08",2016,"201608",2016-08-01,"BNDES",693546115.08,126500184.52,561114670.79,715816355.26
"51",2016-08-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2013848","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",59668844.72,"08",2016,"201608",2016-08-01,"BNDES",699159819.47,132113888.91,566728375.18,721430059.65
"52",2016-08-15,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9930240.35,"08",2016,"201608",2016-08-01,"Banco do Brasil",758828664.19,309406388.08,626397219.9,781098904.37
"53",2016-08-15,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9090805.4,"08",2016,"201608",2016-08-01,"Caixa Econômica",768758904.54,125208098.19,636327460.25,791029144.72
"54",2016-08-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2530247.24,"08",2016,"201608",2016-08-01,"Caixa Econômica",777849709.94,134298903.59,645418265.65,800119950.12
"55",2016-08-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",840336.8,"08",2016,"201608",2016-08-01,"Caixa Econômica",780379957.18,136829150.83,647948512.89,802650197.36
"56",2016-08-25,"Interna","Caixa Econômica Federal","CAIXA - 20130885","Bancos Federais","Roraima","Estados","Honra de Aval",2955547.86,"08",2016,"201608",2016-08-01,"Caixa Econômica",15649751.57,137669487.63,648788849.69,803490534.16
"57",2016-08-25,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8167329.38,"08",2016,"201608",2016-08-01,"Caixa Econômica",781220293.98,140625035.49,651744397.55,806446082.02
"58",2016-09-09,"Externa","BID","BID916/SF-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5692752.67,"09",2016,"201609",2016-09-01,"BID",789387623.36,33311803.61,154701684.47,814613411.4
"59",2016-09-09,"Externa","BID","BID782/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",41552366.03,"09",2016,"201609",2016-09-01,"BID",795080376.03,39004556.28,160394437.14,820306164.07
"60",2016-09-12,"Interna","Caixa Econômica Federal","CAIXA - 20110776","Bancos Federais","Natal","Municípios","Honra de Aval",2184012.12,"09",2016,"201609",2016-09-01,"Caixa Econômica",4353799.53,148792364.87,659911726.93,861858530.1
"61",2016-09-12,"Externa","Bank of America","BANK OF AMERICA-MT/2012","Credores Privados","Mato Grosso","Estados","Honra de Aval",107134090.46,"09",2016,"201609",2016-09-01,"Bank of America",0,0,201946803.17,864042542.22
"62",2016-09-13,"Externa","Corporacão Andina de Fomento","CFA007948","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",19285596.56,"09",2016,"201609",2016-09-01,"CAF",836632742.06,51968914.36,309080893.63,971176632.68
"63",2016-09-13,"Externa","Corporacão Andina de Fomento","CFA007949","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",47547386.15,"09",2016,"201609",2016-09-01,"CAF",855918338.62,71254510.92,328366490.19,990462229.24
"64",2016-09-15,"Interna","Caixa Econômica Federal","CAIXA - 20120812","Bancos Federais","Roraima","Estados","Honra de Aval",2879819.72,"09",2016,"201609",2016-09-01,"Caixa Econômica",18605299.43,150976376.99,662095739.05,1038009615.39
"65",2016-09-15,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",10023830.04,"09",2016,"201609",2016-09-01,"Banco do Brasil",903465724.77,319336628.43,664975558.77,1040889435.11
"66",2016-09-15,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9067584.06,"09",2016,"201609",2016-09-01,"Caixa Econômica",913489554.81,153856196.71,674999388.81,1050913265.15
"67",2016-09-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5591688.12,"09",2016,"201609",2016-09-01,"BNDES",922557138.87,191782733.63,684066972.87,1059980849.21
"68",2016-09-15,"Interna","Banco Suiço de Investimento - Credit Suisse-Brasil","Credit Suisse - MU57/2014","Credores Privados","Rio de Janeiro (Estado)","Estados","Honra de Aval",78583970.29,"09",2016,"201609",2016-09-01,"Credit Suisse (Interno",928148826.99,0,689658660.99,1065572537.33
"69",2016-09-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2531570.85,"09",2016,"201609",2016-09-01,"Caixa Econômica",1006732797.28,162923780.77,768242631.28,1144156507.62
"70",2016-09-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",840493.27,"09",2016,"201609",2016-09-01,"Caixa Econômica",1009264368.13,165455351.62,770774202.13,1146688078.47
"71",2016-09-20,"Externa","Japan International Cooperation Agency","JICA BZ-P9","Agências Governamentais","Rio de Janeiro (Estado)","Estados","Honra de Aval",142956.4,"09",2016,"201609",2016-09-01,"JICA",1010104861.4,0,375913876.34,1147528571.74
"72",2016-09-20,"Externa","Japan International Cooperation Agency","JICA BZ-P9","Agências Governamentais","Rio de Janeiro (Estado)","Estados","Honra de Aval",30027871.1,"09",2016,"201609",2016-09-01,"JICA",1010247817.8,142956.399999999,376056832.74,1147671528.14
"73",2016-09-25,"Interna","Caixa Econômica Federal","CAIXA - 20130885","Bancos Federais","Roraima","Estados","Honra de Aval",3002202,"09",2016,"201609",2016-09-01,"Caixa Econômica",21485119.15,166295844.89,771614695.4,1177699399.24
"74",2016-09-25,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8190562.18,"09",2016,"201609",2016-09-01,"Caixa Econômica",1040275688.9,169298046.89,774616897.4,1180701601.24
"75",2016-10-03,"Interna","Caixa Econômica Federal","Contrato Conta A","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",98161644.7,"10",2016,"201610",2016-10-01,"Caixa Econômica",1048466251.08,177488609.07,782807459.58,1188892163.42
"76",2016-10-12,"Interna","Caixa Econômica Federal","CAIXA - 20110776","Bancos Federais","Natal","Municípios","Honra de Aval",2188905.65,"10",2016,"201610",2016-10-01,"Caixa Econômica",6537811.65,275650253.77,880969104.28,1287053808.12
"77",2016-10-15,"Externa","BID","BID2307/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2909703.6,"10",2016,"201610",2016-10-01,"BID",1146627895.78,80556922.31,406084703.84,1289242713.77
"78",2016-10-15,"Externa","Banco Mundial","BIRD7773-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",1989472.96,"10",2016,"201610",2016-10-01,"Banco Mundial",1149537599.38,36991589.32,408994407.44,1292152417.37
"79",2016-10-15,"Externa","Banco Mundial","BIRD7827-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",46145386.3,"10",2016,"201610",2016-10-01,"Banco Mundial",1151527072.34,38981062.28,410983880.4,1294141890.33
"80",2016-10-15,"Externa","Banco Mundial","BIRD7508-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9744097.96,"10",2016,"201610",2016-10-01,"Banco Mundial",1197672458.64,85126448.58,457129266.7,1340287276.63
"81",2016-10-15,"Externa","Banco Mundial","BIRD7719-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",3801641.14,"10",2016,"201610",2016-10-01,"Banco Mundial",1207416556.6,94870546.54,466873364.66,1350031374.59
"82",2016-10-15,"Externa","BID","BID1990/OC-BR","Organismos Multilaterais","Belford Roxo","Municípios","Honra de Aval",1170272.43,"10",2016,"201610",2016-10-01,"BID",0,83466625.91,470675005.8,1353833015.73
"83",2016-10-15,"Interna","Caixa Econômica Federal","CAIXA - 20120812","Bancos Federais","Roraima","Estados","Honra de Aval",2927771.46,"10",2016,"201610",2016-10-01,"Caixa Econômica",24487321.15,277839159.42,883158009.93,1355003288.16
"84",2016-10-15,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9080723.1,"10",2016,"201610",2016-10-01,"Caixa Econômica",1211218197.74,280766930.88,886085781.39,1357931059.62
"85",2016-10-17,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2014976","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",47270535.07,"10",2016,"201610",2016-10-01,"BNDES",1220298920.84,197374421.75,895166504.49,1367011782.72
"86",2016-10-17,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5665772.55,"10",2016,"201610",2016-10-01,"BNDES",1267569455.91,244644956.82,942437039.56,1414282317.79
"87",2016-10-17,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2016004","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",4926896.75,"10",2016,"201610",2016-10-01,"BNDES",1273235228.46,250310729.37,948102812.11,1419948090.34
"88",2016-10-17,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",10126407.77,"10",2016,"201610",2016-10-01,"Banco do Brasil",1278162125.21,329360458.47,953029708.86,1424874987.09
"89",2016-10-17,"Interna","Banco Suiço de Investimento - Credit Suisse-Brasil","Credit Suisse - CSBRA20140800329","Credores Privados","Rio de Janeiro (Estado)","Estados","Honra de Aval",104432869.06,"10",2016,"201610",2016-10-01,"Credit Suisse (Interno",1288288532.98,78583970.29,963156116.63,1435001394.86
"90",2016-10-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2541090.99,"10",2016,"201610",2016-10-01,"Caixa Econômica",1392721402.04,289847653.98,1067588985.69,1539434263.92
"91",2016-10-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",843368.1,"10",2016,"201610",2016-10-01,"Caixa Econômica",1395262493.03,292388744.97,1070130076.68,1541975354.91
"92",2016-10-20,"Externa","Fundo Financeiro para Desenvolvimento da Bacia do Prata","Fonplata BR-15/2008","Organismos Multilaterais","Cachoeirinha","Municípios","Honra de Aval",1446770.51,"10",2016,"201610",2016-10-01,"FONPLATA",0,2266689.08,471845278.23,1542818723.01
"93",2016-10-25,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8186125.77,"10",2016,"201610",2016-10-01,"Caixa Econômica",1396105861.13,293232113.07,1070973444.78,1544265493.52
"94",2016-10-31,"Externa","Agência Francesa de Desevolvimento","AFD CBR 1042","Agências Governamentais","Rio de Janeiro (Estado)","Estados","Honra de Aval",28791937.48,"10",2016,"201610",2016-10-01,"AFD",1404291986.9,30162688.1,473292048.74,1552451619.29
"95",2016-11-01,"Interna","Caixa Econômica Federal","Contrato Conta A","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",126556279.01,"11",2016,"201611",2016-11-01,"Caixa Econômica",1433083924.38,301418238.84,1079159570.55,1581243556.77
"96",2016-11-07,"Interna","Banco do Brasil S/A","BB - 2013850","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",115098766.46,"11",2016,"201611",2016-11-01,"Banco do Brasil",1559640203.39,339486866.24,1205715849.56,1707799835.78
"97",2016-11-12,"Interna","Caixa Econômica Federal","CAIXA - 20110776","Bancos Federais","Natal","Municípios","Honra de Aval",2198696.59,"11",2016,"201611",2016-11-01,"Caixa Econômica",8726717.3,427974517.85,1320814616.02,1822898602.24
"98",2016-11-15,"Externa","Banco Mundial","BIRD7955-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",1534481.06,"11",2016,"201611",2016-11-01,"Banco Mundial",1674738969.85,98672187.68,502083986.22,1825097298.83
"99",2016-11-15,"Externa","Banco Mundial","BIRD8011-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",45556962.88,"11",2016,"201611",2016-11-01,"Banco Mundial",1676273450.91,100206668.74,503618467.28,1826631779.89
"100",2016-11-15,"Externa","BID","BID2762/OC-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",765409.57,"11",2016,"201611",2016-11-01,"BID",1721830413.79,84636898.34,549175430.16,1872188742.77
"101",2016-11-15,"Externa","Banco Mundial","BIRD8117-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9094500.36,"11",2016,"201611",2016-11-01,"Banco Mundial",1722595823.36,145763631.62,549940839.73,1872954152.34
"102",2016-11-15,"Externa","Banco Mundial","BIRD8327-BR","Organismos Multilaterais","Rio de Janeiro (Estado)","Estados","Honra de Aval",125520.65,"11",2016,"201611",2016-11-01,"Banco Mundial",1731690323.72,154858131.98,559035340.09,1882048652.7
"103",2016-11-15,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",8938952.54,"11",2016,"201611",2016-11-01,"Caixa Econômica",1731815844.37,430173214.44,1323013312.61,1882174173.35
"104",2016-11-16,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2011684","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",5487920.61,"11",2016,"201611",2016-11-01,"BNDES",1740754796.91,255237626.12,1331952265.15,1891113125.89
"105",2016-11-16,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2013848","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",61156392.98,"11",2016,"201611",2016-11-01,"BNDES",1746242717.52,260725546.73,1337440185.76,1896601046.5
"106",2016-11-16,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9830382.67,"11",2016,"201611",2016-11-01,"Banco do Brasil",1807399110.5,454585632.7,1398596578.74,1957757439.48
"107",2016-11-19,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2540457.93,"11",2016,"201611",2016-11-01,"Caixa Econômica",1817229493.17,439112166.98,1408426961.41,1967587822.15
"108",2016-11-19,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",842915.96,"11",2016,"201611",2016-11-01,"Caixa Econômica",1819769951.1,441652624.91,1410967419.34,1970128280.08
